dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,hnsw_m,hnsw_ef_construction,hnsw_ef_search,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,recall_X_avg_at_k,recall_X_asymmetric_avg_at_k,search_time_X_ms,search_time_X_asymmetric_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,roargraph,False,False,10,,,,10,48,500,1000,186843,100,0,10,0.059700001031160355,,580.6407928466797,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,10,48,500,1000,186843,100,1,10,0.059700001031160355,,578.8307189941406,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,10,48,500,1000,186843,100,10,10,0.16430002450942993,,731.3232421875,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,10,48,500,1000,186843,100,100,10,0.5038999915122986,,884.8013877868652,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,10,48,500,1000,186843,100,1000,10,0.7830999493598938,,871.7794418334961,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,10,48,500,1000,186843,100,10000,10,0.9088000059127808,,989.0336990356445,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,10,48,500,1000,186843,100,100000,10,0.957099974155426,,1171.7920303344727,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,10,48,500,1000,186843,100,186843,10,0.9666999578475952,,1201.9259929656982,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,10,48,500,1000,255921,100,0,10,0.054200004786252975,,585.1640701293945,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,10,48,500,1000,255921,100,1,10,0.059800002723932266,,600.9354591369629,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,10,48,500,1000,255921,100,10,10,0.33479997515678406,,724.2336273193359,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,10,48,500,1000,255921,100,100,10,0.6980000138282776,,708.2681655883789,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,10,48,500,1000,255921,100,1000,10,0.8770999908447266,,756.2305927276611,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,10,48,500,1000,255921,100,10000,10,0.9430999755859375,,807.0535659790039,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,10,48,500,1000,255921,100,100000,10,0.9739999771118164,,850.8396148681641,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,10,48,500,1000,255921,100,255921,10,0.9781999588012695,,868.7176704406738,,,,,,,,,,,,,,,,,,,,,
