dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,recall_X_avg_at_k,recall_X_asymmetric_avg_at_k,search_time_X_ms,search_time_X_asymmetric_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,none,0,,,,,,,,,,0.9646999835968018,,3235.161066055298,,,,,,,,,,,498.5082780507887,500.0,13.373604039751319,12.0,26.59821766049307,23.0,96,26.995725153452618,23.0,143
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,none,0,,,,,,,,,,0.954300045967102,,4327.044248580933,,,,,,,,,,,498.8640915048618,500.0,21.90957341421038,20.0,41.95185679644716,39.0,96,42.466937307577034,39.0,143
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,1,,,,,,,,,,0.9636999368667603,,3247.6284503936768,,,,,,,,,,,498.5087391997665,500.0,13.374654757313934,12.0,26.602350886906155,23.0,96,27.004173676029044,23.0,142
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,10,,,,,,,,,,0.9660000205039978,,3242.9862022399902,,,,,,,,,,,498.5085329567542,500.0,13.373829486771962,12.0,26.599479380153632,23.0,96,26.996667607118333,23.0,143
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,100,,,,,,,,,,0.9764999747276306,,3535.114526748657,,,,,,,,,,,498.508854443368,500.0,13.37143869079242,12.0,26.596175436169478,23.0,96,26.993524632468354,23.0,143
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,1000,,,,,,,,,,0.9841999411582947,,4452.93116569519,,,,,,,,,,,498.5161547831947,500.0,13.340144623279683,12.0,26.531129033112162,23.0,96,26.927294101449352,23.0,143
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,10000,,,,,,,,,,0.9847999811172485,,9386.716365814209,,,,,,,,,,,498.5794078061911,500.0,12.851441889003246,11.0,25.51441294359669,22.0,96,25.90956465480204,22.0,143
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,100000,,,,,,,,,,0.9850999712944031,,27970.87025642395,,,,,,,,,,,498.9573489207165,500.0,9.326369336652114,8.0,18.20109573621731,15.0,96,18.532453455529577,15.0,140
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,186843,,,,,,,,,,0.983299970626831,,42028.95545959473,,,,,,,,,,,499.1512594724922,500.0,7.482496950255865,4.0,14.391170206519593,8.0,96,14.669389835755807,8.0,144
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,1,,,,,,,,,,0.9636999368667603,,4367.184638977051,,,,,,,,,,,498.8641377444686,500.0,21.906643754977004,20.0,41.952588723425784,39.0,96,42.465472010960525,39.0,158
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,10,,,,,,,,,,0.9672999978065491,,4260.769367218018,,,,,,,,,,,498.86407382289514,500.0,21.906281194516623,20.0,41.95753334552857,39.0,96,42.46888075008465,39.0,147
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,100,,,,,,,,,,0.9865000247955322,,4421.653747558594,,,,,,,,,,,498.86455080059113,500.0,21.90899084385807,20.0,41.95960252275106,39.0,96,42.470514082506874,39.0,149
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,1000,,,,,,,,,,0.9906999468803406,,5678.733825683594,,,,,,,,,,,498.868441627448,500.0,21.887179292545923,20.0,41.9142760767832,39.0,96,42.42550238251248,39.0,144
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,10000,,,,,,,,,,0.9902999997138977,,6473.022699356079,,,,,,,,,,,498.895132514568,500.0,21.1993090979768,20.0,40.55233945624361,38.0,96,41.06381288845763,38.0,163
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,100000,,,,,,,,,,0.9902999997138977,,9508.13913345337,,,,,,,,,,,499.1177762665014,500.0,16.13669769048938,15.0,30.59338340977415,30.0,96,31.015855049156535,30.0,147
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,255921,,,,,,,,,,0.9899000525474548,,11922.88589477539,,,,,,,,,,,499.3406883232379,500.0,11.537183348028046,5.0,21.609345568420682,9.0,96,21.911678450672916,9.0,145
