dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_database_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,recall_X_avg_at_k,recall_X_asymmetric_avg_at_k,search_time_X_ms,search_time_X_asymmetric_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,0,10,database_objects,187843,,,,,0.054200004786252975,,607.1782112121582,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,1,10,database_objects,187843,,,,,0.05770000070333481,,586.432933807373,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,10,10,database_objects,187843,,,,,0.07100000232458115,,575.3614902496338,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,100,10,database_objects,187843,,,,,0.04859999939799309,,594.1400527954102,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,1000,10,database_objects,187843,,,,,0.04880000278353691,,584.6483707427979,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,10000,10,database_objects,187843,,,,,0.0494999997317791,,655.7388305664062,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,100000,10,database_objects,187843,,,,,0.024299999698996544,,527.1499156951904,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,187843,10,database_objects,187843,,,,,0.05590000003576279,,630.2163600921631,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,0,10,database_objects,256921,,,,,0.058000002056360245,,541.6779518127441,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,1,10,database_objects,256921,,,,,0.05470000579953194,,540.7655239105225,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,10,10,database_objects,256921,,,,,0.03490000218153,,557.032585144043,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,100,10,database_objects,256921,,,,,0.10540000349283218,,784.149169921875,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,1000,10,database_objects,256921,,,,,0.05590000003576279,,552.8349876403809,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,10000,10,database_objects,256921,,,,,0.04670000448822975,,565.7265186309814,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,100000,10,database_objects,256921,,,,,0.05290000140666962,,576.3757228851318,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,256921,10,database_objects,256921,,,,,0.04100000113248825,,525.7079601287842,,,,,,,,,,,,,,,,,,,,,
