dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,num_threads_build,num_threads_search,run_timestamp_utc,git_commit,hostname,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_learn_query_sample_seed,roargraph_database_rows,roargraph_learn_neighbors_rows_actual,roargraph_learn_neighbors_dropped_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,build_time_ms,rss_before_build_bytes,rss_after_build_bytes,rss_build_delta_bytes,index_size_bytes,recall_X_avg_at_k,recall_X_min,recall_X_p50,recall_X_p95,recall_X_p99,recall_X_std,recall_X_frac_at_0,recall_X_frac_at_1,recall_X_asymmetric_avg_at_k,recall_X_asymmetric_min,recall_X_asymmetric_p50,recall_X_asymmetric_p95,recall_X_asymmetric_p99,recall_X_asymmetric_std,recall_X_asymmetric_frac_at_0,recall_X_asymmetric_frac_at_1,num_queries,queries_per_sec,search_time_X_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,search_time_X_asymmetric_ms,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,roargraph,False,False,10,8,1,2026-05-20T13:53:27.652435+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,0,100,database_objects,1,187843,0,0,,,,,15596.121198032051,540102656,875966464,335863808,1794700,0.07760000973939896,0.0,0.0,0.4000000059604645,0.699999988079071,0.1462813764810562,0.65,0.0,,,,,,,,,1000,2243.046471655916,445.82223892211914,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-20T13:53:46.864085+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,1,100,database_objects,1,187843,1,0,,,,,18439.1230372712,860344320,980750336,120406016,1755912,0.05159999802708626,0.0,0.0,0.30000001192092896,0.5010000002384176,0.1088000014424324,0.709,0.0,,,,,,,,,1000,1552.4121344378818,644.1588401794434,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-20T13:54:07.771091+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,10,100,database_objects,1,187843,10,0,,,,,19859.218408819288,980750336,1083473920,102723584,1805008,0.054600007832050323,0.0,0.0,0.20500000342726252,0.5,0.11099027842283249,0.688,0.001,,,,,,,,,1000,1193.6039531210026,837.7988338470459,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-20T13:54:28.233612+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,100,100,database_objects,1,187843,100,0,,,,,19229.570399969816,1085689856,1190572032,104882176,1781200,0.09650000184774399,0.0,0.0,0.4000000059604645,0.6010000234842291,0.14851851761341095,0.535,0.002,,,,,,,,,1000,1107.5804079688253,902.8689861297607,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-20T13:54:49.028665+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,1000,100,database_objects,1,187843,1000,0,,,,,17864.192298147827,1190842368,1295462400,104620032,1856952,0.2071000039577484,0.0,0.10000000149011612,0.699999988079071,0.8999999761581421,0.23319432139396667,0.317,0.005,,,,,,,,,1000,990.438498203573,1009.6538066864014,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-20T13:55:27.733627+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,10000,100,database_objects,1,187843,10000,0,,,,,19486.36088008061,1296318464,1410367488,114049024,2055816,0.2599000036716461,0.0,0.20000000298023224,0.800000011920929,0.8999999761581421,0.2321680337190628,0.201,0.008,,,,,,,,,1000,916.7757362744969,1090.7793045043945,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-20T13:58:47.164735+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,100000,100,database_objects,1,187843,100000,0,,,,,18197.056209668517,1451474944,1596641280,145166336,2445944,0.3513999879360199,0.0,0.30000001192092896,0.800000011920929,1.0,0.2644958198070526,0.118,0.022,,,,,,,,,1000,835.9860113043267,1196.1922645568848,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-20T14:04:56.917579+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,187843,100,database_objects,1,187843,187843,0,,,,,22085.87438520044,1631191040,1782845440,151654400,2619648,0.33079999685287476,0.0,0.30000001192092896,0.800000011920929,1.0,0.2490609735250473,0.112,0.021,,,,,,,,,1000,774.0987681389719,1291.8248176574707,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,8,1,2026-05-20T14:05:26.217699+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,0,100,database_objects,1,256921,0,0,,,,,24826.264066156,1877422080,2082873344,205451264,2209520,0.07520001381635666,0.0,0.0,0.30000001192092896,0.5,0.10846640169620514,0.547,0.0,,,,,,,,,1000,1750.02639035444,571.4199542999268,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,8,1,2026-05-20T14:05:52.228964+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,1,100,database_objects,1,256921,1,0,,,,,25088.38600665331,2083434496,2223742976,140308480,2208424,0.1291000097990036,0.0,0.10000000149011612,0.4050000056624367,0.699999988079071,0.15780743956565857,0.382,0.0,,,,,,,,,1000,1335.9842980666263,748.511791229248,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,8,1,2026-05-20T14:06:15.808298+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,10,100,database_objects,1,256921,10,0,,,,,22386.122338008136,2224238592,2364547072,140308480,2231976,0.19349999725818634,0.0,0.10000000149011612,0.6000000238418579,0.800000011920929,0.1911746710538864,0.241,0.002,,,,,,,,,1000,1119.8380117133936,892.9862976074219,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,8,1,2026-05-20T14:06:41.135235+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,100,100,database_objects,1,256921,100,0,,,,,24066.796754021198,2365042688,2505351168,140308480,2222012,0.15770001709461212,0.0,0.10000000149011612,0.5,0.699999988079071,0.1732071340084076,0.328,0.0,,,,,,,,,1000,1224.0078419539282,816.9882297515869,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,8,1,2026-05-20T14:07:10.041394+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,1000,100,database_objects,1,256921,1000,0,,,,,25501.037717796862,2505932800,2646851584,140918784,2257952,0.1597999930381775,0.0,0.10000000149011612,0.4050000056624367,0.699999988079071,0.15027961134910583,0.242,0.0,,,,,,,,,1000,1122.738791561278,890.679121017456,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,8,1,2026-05-20T14:08:04.278399+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,10000,100,database_objects,1,256921,10000,0,,,,,28240.123086143285,2647019520,2792464384,145444864,2389744,0.2084999978542328,0.0,0.20000000298023224,0.5,0.800000011920929,0.15993045270442963,0.144,0.0,,,,,,,,,1000,968.5267775704164,1032.4959754943848,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,8,1,2026-05-20T14:12:28.735267+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,100000,100,database_objects,1,256921,100000,0,,,,,25386.86077296734,2793410560,2983731200,190320640,2573100,0.26350000500679016,0.0,0.20000000298023224,0.6000000238418579,0.800000011920929,0.17560681700706482,0.082,0.0,,,,,,,,,1000,889.683998409121,1123.9945888519287,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,8,1,2026-05-20T14:23:19.973686+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,256921,100,database_objects,1,256921,256921,0,,,,,34701.92897692323,3087978496,3243966464,155987968,2705528,0.2742000222206116,0.0,0.30000001192092896,0.6000000238418579,0.800000011920929,0.16945312917232513,0.071,0.001,,,,,,,,,1000,857.5248278787817,1166.146993637085,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,8,1,2026-05-20T14:23:34.452983+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,0,100,database_objects,1,187843,0,0,,,,,10921.750249806792,2874433536,2971324416,96890880,2254012,,,,,,,,,0.054600004106760025,0.0,0.0,0.30000001192092896,0.4000000059604645,0.10197471082210541,0.687,0.0,1000,1457.5281572014708,,,,,,,,,,,,686.0930919647217,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,8,1,2026-05-20T14:23:46.087527+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,1,100,database_objects,1,187843,1,0,,,,,10807.588815689087,2971402240,3068219392,96817152,2254196,,,,,,,,,0.04370000213384628,0.0,0.0,0.20000000298023224,0.4000000059604645,0.0875231996178627,0.716,0.0,1000,1434.8723281972686,,,,,,,,,,,,696.9261169433594,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,8,1,2026-05-20T14:23:57.771257+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,10,100,database_objects,1,187843,10,0,,,,,10683.03285818547,3068329984,3165257728,96927744,2257852,,,,,,,,,0.09260000288486481,0.0,0.0,0.4000000059604645,0.5,0.13017387688159943,0.529,0.0,1000,1290.3569575009867,,,,,,,,,,,,774.9793529510498,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,8,1,2026-05-20T14:24:09.878671+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,100,100,database_objects,1,187843,100,0,,,,,10823.373324237764,3165257728,3263225856,97968128,2292396,,,,,,,,,0.1313999891281128,0.0,0.10000000149011612,0.5,0.699999988079071,0.1683865785598755,0.443,0.0,1000,1061.8620175637577,,,,,,,,,,,,941.741943359375,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,8,1,2026-05-20T14:24:23.808478+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,1000,100,database_objects,1,187843,1000,0,,,,,10825.834021903574,3263565824,3367481344,103915520,2634560,,,,,,,,,0.23360000550746918,0.0,0.20000000298023224,0.699999988079071,0.8999999761581421,0.24230360984802246,0.318,0.0,1000,854.5437283196129,,,,,,,,,,,,1170.215129852295,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,8,1,2026-05-20T14:25:01.510642+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,10000,100,database_objects,1,187843,10000,0,,,,,17626.352136023343,3366752256,3477966848,111214592,5548444,,,,,,,,,0.37560001015663147,0.0,0.30000001192092896,0.8999999761581421,1.0,0.2790782153606415,0.163,0.015,1000,586.1284327566988,,,,,,,,,,,,1706.1107158660889,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,8,1,2026-05-20T14:28:35.936119+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,100000,100,database_objects,1,187843,100000,0,,,,,29373.41828783974,3497013248,3632488448,135475200,22633140,,,,,,,,,0.6106000542640686,0.0,0.6000000238418579,0.8999999761581421,1.0,0.24126259982585907,0.038,0.029,1000,383.36551883491654,,,,,,,,,,,,2608.4766387939453,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,8,1,2026-05-20T14:35:02.197665+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,187843,100,database_objects,1,187843,187843,0,,,,,35712.87221694365,3630321664,3789115392,158793728,28672472,,,,,,,,,0.636900007724762,0.0,0.699999988079071,0.8999999761581421,1.0,0.23231098055839539,0.03,0.035,1000,351.3307047146269,,,,,,,,,,,,2846.3211059570312,,,,,,,,,,
