dataset_name,algorithm,use_asymmetric_transformation,M,recall
yi-128-ip,hnsw-hnswlib,FALSE,4,23.8%
yi-128-ip,hnsw-hnswlib,FALSE,8,30.5%
yi-128-ip,hnsw-hnswlib,FALSE,12,33.6%
yi-128-ip,hnsw-hnswlib,FALSE,16,35.1%
yi-128-ip,hnsw-hnswlib,FALSE,24,38.2%
yi-128-ip,hnsw-hnswlib,FALSE,36,41.5%
yi-128-ip,hnsw-hnswlib,FALSE,48,43.0%
yi-128-ip,hnsw-hnswlib,FALSE,64,43.7%
yi-128-ip,hnsw-hnswlib,FALSE,96,45.4%
yi-128-ip,hnsw-hnswlib,TRUE,4,81.5%
yi-128-ip,hnsw-hnswlib,TRUE,8,93.7%
yi-128-ip,hnsw-hnswlib,TRUE,12,95.5%
yi-128-ip,hnsw-hnswlib,TRUE,16,96.0%
yi-128-ip,hnsw-hnswlib,TRUE,24,96.5%
yi-128-ip,hnsw-hnswlib,TRUE,36,96.5%
yi-128-ip,hnsw-hnswlib,TRUE,48,96.7%
yi-128-ip,hnsw-hnswlib,TRUE,64,96.9%
yi-128-ip,hnsw-hnswlib,TRUE,96,96.9%
llama-128-ip,hnsw-hnswlib,FALSE,4,6.8%
llama-128-ip,hnsw-hnswlib,FALSE,8,9.3%
llama-128-ip,hnsw-hnswlib,FALSE,12,13.7%
llama-128-ip,hnsw-hnswlib,FALSE,16,15.8%
llama-128-ip,hnsw-hnswlib,FALSE,24,18.7%
llama-128-ip,hnsw-hnswlib,FALSE,36,19.6%
llama-128-ip,hnsw-hnswlib,FALSE,48,21.1%
llama-128-ip,hnsw-hnswlib,FALSE,64,19.9%
llama-128-ip,hnsw-hnswlib,FALSE,96,22.0%
llama-128-ip,hnsw-hnswlib,TRUE,4,70.9%
llama-128-ip,hnsw-hnswlib,TRUE,8,87.4%
llama-128-ip,hnsw-hnswlib,TRUE,12,92.7%
llama-128-ip,hnsw-hnswlib,TRUE,16,94.4%
llama-128-ip,hnsw-hnswlib,TRUE,24,95.5%
llama-128-ip,hnsw-hnswlib,TRUE,36,95.7%
llama-128-ip,hnsw-hnswlib,TRUE,48,95.8%
llama-128-ip,hnsw-hnswlib,TRUE,64,95.8%
llama-128-ip,hnsw-hnswlib,TRUE,96,95.8%
