dataset_name,algorithm,use_asymmetric_transformation,efSearch,recall,queries_per_sec
yi-128-ip,hnsw-hnswlib,FALSE,10,7.90%,29154.6
yi-128-ip,hnsw-hnswlib,FALSE,20,13.20%,12800.2
yi-128-ip,hnsw-hnswlib,FALSE,30,16.60%,8833.7
yi-128-ip,hnsw-hnswlib,FALSE,40,18.80%,6918.5
yi-128-ip,hnsw-hnswlib,FALSE,50,20.90%,5808.2
yi-128-ip,hnsw-hnswlib,FALSE,60,22.50%,5130.0
yi-128-ip,hnsw-hnswlib,FALSE,80,25.20%,4093.9
yi-128-ip,hnsw-hnswlib,FALSE,100,27.20%,3499.3
yi-128-ip,hnsw-hnswlib,FALSE,150,30.90%,2601.8
yi-128-ip,hnsw-hnswlib,FALSE,200,32.90%,2114.7
yi-128-ip,hnsw-hnswlib,FALSE,300,35.30%,1543.4
yi-128-ip,hnsw-hnswlib,FALSE,400,37.60%,1213.6
yi-128-ip,hnsw-hnswlib,FALSE,500,39.10%,1054.2
yi-128-ip,hnsw-hnswlib,FALSE,600,40.10%,1064.9
yi-128-ip,hnsw-hnswlib,FALSE,800,41.70%,831.8
yi-128-ip,hnsw-hnswlib,FALSE,1000,43.00%,680.5
llama-128-ip,hnsw-hnswlib,FALSE,10,2.50%,30545.8
llama-128-ip,hnsw-hnswlib,FALSE,20,3.70%,17709.1
llama-128-ip,hnsw-hnswlib,FALSE,30,4.60%,13557.7
llama-128-ip,hnsw-hnswlib,FALSE,40,5.20%,10765.6
llama-128-ip,hnsw-hnswlib,FALSE,50,6.00%,8666.8
llama-128-ip,hnsw-hnswlib,FALSE,60,6.60%,7604.3
llama-128-ip,hnsw-hnswlib,FALSE,80,7.90%,5962.5
llama-128-ip,hnsw-hnswlib,FALSE,100,8.90%,4993.2
llama-128-ip,hnsw-hnswlib,FALSE,150,10.70%,3689.0
llama-128-ip,hnsw-hnswlib,FALSE,200,12.00%,2984.9
llama-128-ip,hnsw-hnswlib,FALSE,300,14.00%,2181.1
llama-128-ip,hnsw-hnswlib,FALSE,400,15.60%,1755.1
llama-128-ip,hnsw-hnswlib,FALSE,500,16.90%,1472.0
llama-128-ip,hnsw-hnswlib,FALSE,600,17.90%,1243.2
llama-128-ip,hnsw-hnswlib,FALSE,800,19.50%,999.3
llama-128-ip,hnsw-hnswlib,FALSE,1000,21.10%,830.9
yi-128-ip,hnsw-hnswlib,TRUE,10,33.2%,16455.2
yi-128-ip,hnsw-hnswlib,TRUE,20,44.8%,9610.7
yi-128-ip,hnsw-hnswlib,TRUE,30,51.7%,6984.0
yi-128-ip,hnsw-hnswlib,TRUE,40,57.3%,5434.6
yi-128-ip,hnsw-hnswlib,TRUE,50,61.8%,4572.0
yi-128-ip,hnsw-hnswlib,TRUE,60,65.3%,3927.6
yi-128-ip,hnsw-hnswlib,TRUE,80,70.0%,3080.3
yi-128-ip,hnsw-hnswlib,TRUE,100,73.9%,2520.0
yi-128-ip,hnsw-hnswlib,TRUE,150,80.3%,1780.6
yi-128-ip,hnsw-hnswlib,TRUE,200,84.5%,1353.3
yi-128-ip,hnsw-hnswlib,TRUE,300,89.2%,961.5
yi-128-ip,hnsw-hnswlib,TRUE,400,91.7%,733.5
yi-128-ip,hnsw-hnswlib,TRUE,500,92.9%,598.9
yi-128-ip,hnsw-hnswlib,TRUE,600,94.1%,508.8
yi-128-ip,hnsw-hnswlib,TRUE,800,95.6%,387.6
yi-128-ip,hnsw-hnswlib,TRUE,1000,96.7%,319.6
llama-128-ip,hnsw-hnswlib,TRUE,10,23.6%,12068.1
llama-128-ip,hnsw-hnswlib,TRUE,20,34.0%,7014.1
llama-128-ip,hnsw-hnswlib,TRUE,30,41.5%,5124.1
llama-128-ip,hnsw-hnswlib,TRUE,40,47.9%,4024.6
llama-128-ip,hnsw-hnswlib,TRUE,50,52.7%,3430.7
llama-128-ip,hnsw-hnswlib,TRUE,60,56.7%,2912.5
llama-128-ip,hnsw-hnswlib,TRUE,80,62.1%,2254.7
llama-128-ip,hnsw-hnswlib,TRUE,100,66.3%,1859.6
llama-128-ip,hnsw-hnswlib,TRUE,150,74.0%,1279.0
llama-128-ip,hnsw-hnswlib,TRUE,200,79.1%,991.7
llama-128-ip,hnsw-hnswlib,TRUE,300,84.7%,687.8
llama-128-ip,hnsw-hnswlib,TRUE,400,88.6%,526.9
llama-128-ip,hnsw-hnswlib,TRUE,500,90.9%,435.6
llama-128-ip,hnsw-hnswlib,TRUE,600,92.4%,369.9
llama-128-ip,hnsw-hnswlib,TRUE,800,94.6%,284.8
llama-128-ip,hnsw-hnswlib,TRUE,1000,95.8%,233.0
yi-128-ip,flatnav,FALSE,10,7.90%,28106.1
yi-128-ip,flatnav,FALSE,20,12.60%,21058.0
yi-128-ip,flatnav,FALSE,30,15.30%,16862.5
yi-128-ip,flatnav,FALSE,40,17.40%,14457.7
yi-128-ip,flatnav,FALSE,50,19.20%,12111.2
yi-128-ip,flatnav,FALSE,60,20.80%,10844.4
yi-128-ip,flatnav,FALSE,80,23.40%,8970.6
yi-128-ip,flatnav,FALSE,100,25.00%,7786.7
yi-128-ip,flatnav,FALSE,150,27.80%,5670.7
yi-128-ip,flatnav,FALSE,200,29.50%,4672.8
yi-128-ip,flatnav,FALSE,300,32.10%,3331.3
yi-128-ip,flatnav,FALSE,400,33.60%,2547.8
yi-128-ip,flatnav,FALSE,500,34.90%,2142.6
yi-128-ip,flatnav,FALSE,600,35.70%,1756.0
yi-128-ip,flatnav,FALSE,800,37.10%,1387.7
yi-128-ip,flatnav,FALSE,1000,38.00%,1113.7
llama-128-ip,flatnav,FALSE,10,2.30%,32385.9
llama-128-ip,flatnav,FALSE,20,3.40%,25568.6
llama-128-ip,flatnav,FALSE,30,4.00%,20829.4
llama-128-ip,flatnav,FALSE,40,4.50%,17992.9
llama-128-ip,flatnav,FALSE,50,5.30%,15437.9
llama-128-ip,flatnav,FALSE,60,5.70%,14004.0
llama-128-ip,flatnav,FALSE,80,6.50%,11251.0
llama-128-ip,flatnav,FALSE,100,7.20%,9689.3
llama-128-ip,flatnav,FALSE,150,8.50%,7143.4
llama-128-ip,flatnav,FALSE,200,9.50%,5733.6
llama-128-ip,flatnav,FALSE,300,11.20%,3937.9
llama-128-ip,flatnav,FALSE,400,12.60%,3205.3
llama-128-ip,flatnav,FALSE,500,13.90%,2677.4
llama-128-ip,flatnav,FALSE,600,15.20%,2246.9
llama-128-ip,flatnav,FALSE,800,17.00%,1718.3
llama-128-ip,flatnav,FALSE,1000,18.50%,1419.8
yi-128-ip,flatnav,TRUE,10,26.3%,16456.2
yi-128-ip,flatnav,TRUE,20,38.4%,10240.4
yi-128-ip,flatnav,TRUE,30,46.4%,8273.4
yi-128-ip,flatnav,TRUE,40,52.5%,6956.1
yi-128-ip,flatnav,TRUE,50,56.6%,5906.4
yi-128-ip,flatnav,TRUE,60,60.5%,5173.4
yi-128-ip,flatnav,TRUE,80,66.7%,4164.6
yi-128-ip,flatnav,TRUE,100,70.9%,3488.9
yi-128-ip,flatnav,TRUE,150,78.5%,2507.2
yi-128-ip,flatnav,TRUE,200,82.5%,1998.8
yi-128-ip,flatnav,TRUE,300,87.8%,1400.5
yi-128-ip,flatnav,TRUE,400,90.8%,1074.6
yi-128-ip,flatnav,TRUE,500,92.4%,873.3
yi-128-ip,flatnav,TRUE,600,93.7%,742.8
yi-128-ip,flatnav,TRUE,800,95.4%,569.7
yi-128-ip,flatnav,TRUE,1000,96.5%,461.9
